x_m,y_m
-60.796,-69.451
-71.674,-64.922
-81.264,-57.834
-81.495,-58.382
58.528,32.578
58.528,23.372
58.528,14.197
59.925,5.023
59.925,-4.183
58.528,-13.358
58.528,-22.564
58.528,-31.739
83.07,45.912
88.753,37.372
92.69,27.88
94.69,17.816
94.69,6.578
94.69,-5.739
94.69,-17.009
92.753,-27.104
88.753,-36.564
81.99,-46.691
91.864,45.404
97.294,35.499
100.849,24.324
102.119,12.547
102.183,0.451
102.183,-11.866
100.976,-23.39
97.421,-34.596
91.833,-44.818
80.085,41.435
85.356,33.562
88.912,24.737
90.753,15.436
90.753,6.578
90.753,-5.739
90.753,-16.628
88.912,-25.929
85.356,-34.723
80.085,-42.628
89.578,49.245
96.182,39.34
100.754,28.356
103.072,16.674
103.072,6.578
103.072,-5.739
103.072,-17.834
100.754,-29.517
96.182,-40.501
89.578,-50.437
97.008,57.404
104.691,45.912
109.993,33.118
112.66,19.594
112.66,6.547
112.66,-6.247
112.66,-18.818
109.993,-32.31
104.691,-45.072
97.008,-56.564
147.203,27.753
116.534,0.42
147.044,-28.025
117.79,10.632
117.324,-9.643
116.915,10.642
116.47,-9.644
116.915,10.642
116.47,-9.644
115.105,0.42
116.576,0.409
95.135,40.8
99.516,29.975
101.802,18.547
101.802,6.547
101.77,-5.739
101.802,-17.675
99.548,-29.167
95.039,-39.897
88.69,-49.548
89.295,50.885
95.833,41.065
100.363,30.187
102.649,18.61
102.628,6.568
102.649,-5.728
102.649,-17.771
100.363,-29.346
95.833,-40.245
89.295,-50.044
-74.215,50.165
-66.342,55.467
-57.579,58.991
-48.245,60.832
-37.355,60.832
-25.036,60.832
-12.749,60.832
-0.43,60.832
11.857,60.832
24.175,60.832
36.462,60.832
47.352,60.832
56.655,59.023
65.417,55.308
73.291,50.102
-82.026,57.658
-72.12,64.292
-61.135,68.832
-49.451,71.149
-37.355,71.149
-25.068,71.149
-12.749,71.149
-0.462,71.149
11.857,71.149
24.143,71.149
36.462,71.149
48.559,71.149
60.242,68.832
71.259,64.292
81.165,57.658
-88.153,67.118
-76.692,74.769
-63.929,80.07
-50.372,82.768
-37.355,82.768
-25.068,82.768
-12.749,82.768
-0.462,82.768
11.857,82.768
24.143,82.768
36.462,82.768
49.511,82.768
63.036,80.038
75.799,74.769
87.293,67.118
-59.452,89.499
56.274,88.514
-81.495,59.224
-71.674,65.763
-60.796,70.292
-49.218,72.578
-37.173,72.578
-24.875,72.578
-12.578,72.578
-0.259,72.578
12.038,72.578
24.336,72.578
36.633,72.578
48.677,72.578
60.255,70.292
71.134,65.763
80.955,59.224
-59.325,-31.739
-59.325,-22.564
-59.325,-13.358
-60.786,-4.183
-60.786,5.023
-59.325,14.197
-59.325,23.372
-59.325,32.578
-83.931,-45.072
-89.646,-36.532
-93.582,-27.072
-95.551,-17.04
-95.583,-5.739
-95.583,6.578
-95.551,17.848
-93.582,27.88
-89.646,37.372
-83.931,45.912
-92.693,-44.786
-98.345,-34.532
-101.742,-23.453
-103.012,-11.675
-102.98,0.388
-102.885,12.61
-101.647,24.324
-98.377,35.594
-92.757,45.435
-80.946,-42.628
-86.248,-34.723
-89.773,-25.929
-91.646,-16.628
-91.646,-5.739
-91.646,6.578
-91.646,17.436
-89.773,26.737
-86.248,35.562
-80.946,43.435
-90.439,-50.437
-97.075,-40.501
-101.615,-29.517
-103.964,-17.834
-103.964,-5.739
-103.964,6.578
-103.964,16.674
-101.615,28.356
-97.075,39.34
-90.439,49.245
-97.9,-56.564
-105.584,-45.072
-110.79,-32.342
-113.553,-18.786
-113.489,-5.739
-113.553,6.547
-113.553,19.594
-110.854,33.118
-105.584,45.88
-97.9,57.404
-129.395,-30.405
-118.633,0.166
-129.395,31.245
-116.456,-9.643
-116.92,10.632
-117.331,-9.644
-117.807,10.642
-117.331,-9.644
-117.807,10.642
-116.664,0.388
-117.331,0.409
-89.55,-49.548
-95.932,-39.897
